step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type_TRANSFER,origBalanceDiscrepancy,destBalanceDiscrepancy,vraiValeur,valeurPredite
20,218162.63,11458.0,0.0,7571628.16,7789790.79,0,206704.63,0.0,0,0
19,130630.4,1716.0,0.0,8003.03,138633.43,0,128914.4,0.0,0,0
21,227867.84,114499.0,0.0,0.0,227867.84,0,113368.84,0.0,0,0
12,365544.94,40014.0,0.0,4575068.46,4940613.4,1,325530.94,0.0,0,0
13,348419.04,0.0,0.0,5978540.88,6326959.92,0,348419.04,0.0,0,0
20,100063.67,214.0,0.0,60953.71,161017.38,0,99849.67,0.0,0,0
22,434962.18,6162.0,0.0,0.0,434962.18,1,428800.18,0.0,0,0
21,263853.74,65127.62,0.0,540809.88,804663.62,0,198726.12,0.0,0,0
10,410339.57,0.0,0.0,616280.86,1026620.43,1,410339.57,-1.1641532182693479e-10,0,0
12,448848.07,5017.0,0.0,0.0,448848.07,0,443831.07,0.0,0,0
19,170448.28,30290.0,0.0,947361.9,1117810.18,0,140158.28,0.0,0,0
23,309795.41,92017.01,0.0,686742.73,996538.14,0,217778.4,-1.1641532182693479e-10,0,0
16,1056282.69,20374.0,0.0,1965878.47,3022161.16,1,1035908.69,0.0,0,0
16,368860.36,0.0,0.0,140141.27,509001.63,0,368860.36,0.0,0,0
17,159445.63,668819.0,509373.37,469193.39,628639.02,0,0.0,0.0,0,0
14,292152.81,0.0,0.0,1308118.43,1600271.24,0,292152.81,0.0,0,0
12,49151.93,0.0,0.0,400661.85,449813.78,0,49151.93,-5.820766091346741e-11,0,0
18,337436.19,0.0,0.0,571443.5,908879.69,0,337436.19,0.0,0,0
15,223511.83,39154.0,0.0,26281.53,249793.36,1,184357.83,0.0,0,0
15,883237.59,987.0,0.0,122219.33,1005456.93,1,882250.59,-0.0100000001257285,0,0
13,99271.11,0.0,0.0,1333765.27,1769575.27,0,99271.11,-336538.8899999999,0,0
12,476931.63,113468.0,0.0,0.0,476931.63,0,363463.63,0.0,0,0
23,189279.01,0.0,0.0,634442.39,823721.4,0,189279.01,0.0,0,0
11,51779.4,167326.0,115546.6,0.0,159113.88,0,0.0,-107334.48,0,0
16,154415.74,0.0,0.0,1474012.29,1628428.03,0,154415.74,0.0,0,0
9,463994.82,120143.34,0.0,475525.92,939520.74,0,343851.48,0.0,0,0
14,249017.98,249017.98,0.0,192109.7,441127.69,0,0.0,-0.0099999999511055,1,1
9,32254.68,0.0,0.0,134310.71,6707241.1,0,32254.68,-6540675.71,0,0
18,350276.4,1630.0,0.0,348990.22,699266.61,0,348646.4,0.0100000000093132,0,0
5,493.28,493.28,0.0,0.0,0.0,1,0.0,493.28,1,1
11,191847.41,32251.0,0.0,0.0,191847.41,0,159596.41,0.0,0,0
16,120032.29,25248.0,0.0,4823897.28,4943929.57,0,94784.29,0.0,0,0
